kingdom,aa,n,expected_frequency
Viruses,Z,34,1.821792847894599e-234
Viruses,Z,35,2.4311278031136374e-241
Viruses,Z,36,3.2442669878206095e-248
Viruses,Z,37,4.329376791620129e-255
Viruses,Z,38,5.777423212757916e-262
Viruses,Z,39,7.709797641988825e-269
Viruses,Z,40,1.0288493241962389e-275
Viruses,Z,41,1.3729685019670606e-282
Viruses,Z,42,1.8321852024992226e-289
Viruses,Z,43,2.4449960880003162e-296
Viruses,Z,44,3.2627737972026257e-303
Viruses,Z,45,4.35407357253433e-310
Viruses,Z,46,5.8103805e-317
Viruses,Z,47,1e-323
Viruses,Z,48,0.0
Viruses,Z,49,0.0
Viruses,Z,50,0.0
Viruses,C,1,0.019701228564153087
Viruses,C,2,0.00040458491345815
Viruses,C,3,8.308565715326766e-06
Viruses,C,4,1.706249095050452e-07
Viruses,C,5,3.503957330433161e-09
Viruses,C,6,7.19573537598462e-11
Viruses,C,7,1.4777179833635599e-12
Viruses,C,8,3.0346452784296126e-14
Viruses,C,9,6.23195499383014e-16
Viruses,C,10,1.2797958074764565e-17
Viruses,C,11,2.6281918121293765e-19
Viruses,C,12,5.397261157593662e-21
Viruses,C,13,1.1083828763497912e-22
Viruses,C,14,2.2761777959493097e-24
Viruses,C,15,4.6743643097726883e-26
Viruses,C,16,9.59928602210268e-28
Viruses,C,17,1.9713117341214883e-29
Viruses,C,18,4.048290616757602e-31
Viruses,C,19,8.313579549117444e-33
Viruses,C,20,1.7072787371886005e-34
Viruses,C,21,3.506071806055832e-36
Viruses,C,22,7.200077668314371e-38
Viruses,C,23,1.4786097175824292e-39
Viruses,C,24,3.036476546010688e-41
Viruses,C,25,6.2357156894303934e-43
Viruses,C,26,1.2805681048481745e-44
Viruses,C,27,2.6297778039079244e-46
Viruses,C,28,5.4005181542036957e-48
Viruses,C,29,1.1090517339732194e-49
Viruses,C,30,2.277551363606826e-51
Viruses,C,31,4.677185071686269e-53
Viruses,C,32,9.605078745693375e-55
Viruses,C,33,1.9725013292601854e-56
Viruses,C,34,4.050733572254884e-58
Viruses,C,35,8.318596408524111e-60
Viruses,C,36,1.7083090006679918e-61
Viruses,C,37,3.5081875576664036e-63
Viruses,C,38,7.204422581016007e-65
Viruses,C,39,1.479501989921512e-66
Viruses,C,40,3.038308918676755e-68
Viruses,C,41,6.2394786544359e-70
Viruses,C,42,1.2813408682655122e-71
Viruses,C,43,2.631364752758902e-73
Viruses,C,44,5.403777116260018e-75
Viruses,C,45,1.1097209952211802e-76
Viruses,C,46,2.2789257601486733e-78
Viruses,C,47,4.680007535798747e-80
Viruses,C,48,9.610874964923903e-82
Viruses,C,49,1.973691642264337e-83
Viruses,C,50,4.053178001962426e-85
Viruses,K,1,0.05193790070306631
Viruses,K,2,0.0030438682776430955
Viruses,K,3,0.00017838869045962323
Viruses,K,4,1.0454632717727145e-05
Viruses,K,5,6.127033332716226e-07
Viruses,K,6,3.590804045804593e-08
Viruses,K,7,2.1044236248100425e-09
Viruses,K,8,1.2333167547343343e-10
Viruses,K,9,7.2279658885018e-12
Viruses,K,10,4.236015661410459e-13
Viruses,K,11,2.482555806227533e-14
Viruses,K,12,1.4549245856616886e-15
Viruses,K,13,8.526718894506998e-17
Viruses,K,14,4.997161765114925e-18
Viruses,K,15,2.92863245706546e-19
Viruses,K,16,1.716351895680532e-20
Viruses,K,17,1.005883760763193e-21
Viruses,K,18,5.895073980536642e-23
Viruses,K,19,3.454862141290845e-24
Viruses,K,20,2.0247536256089857e-25
Viruses,K,21,1.1866254214372164e-26
Viruses,K,22,6.95432704992709e-28
Viruses,K,23,4.0756471118553776e-29
Viruses,K,24,2.3885703478022697e-30
Viruses,K,25,1.3998435462689058e-31
Viruses,K,26,8.203911414347519e-33
Viruses,K,27,4.807977482473071e-34
Viruses,K,28,2.8177592741360226e-35
Viruses,K,29,1.6513736505470488e-36
Viruses,K,30,9.678026646038618e-38
Viruses,K,31,5.671896225933207e-39
Viruses,K,32,3.324066772529839e-40
Viruses,K,33,1.9480998008596246e-41
Viruses,K,34,1.1417017448241533e-42
Viruses,K,35,6.691047725374938e-44
Viruses,K,36,3.921349850449838e-45
Viruses,K,37,2.298143023447245e-46
Viruses,K,38,1.3468477839622957e-47
Viruses,K,39,7.8933248916907e-49
Viruses,K,40,4.625955403994503e-50
Viruses,K,41,2.7110835666061515e-51
Viruses,K,42,1.5888553743460744e-52
Viruses,K,43,9.311632557858155e-54
Viruses,K,44,5.4571676121402674e-55
Viruses,K,45,3.1982231001867207e-56
Viruses,K,46,1.8743479631838452e-57
Viruses,K,47,1.0984788043355452e-58
Viruses,K,48,6.43773572077179e-60
Viruses,K,49,3.7728940282621355e-61
Viruses,K,50,2.211139128089207e-62
Viruses,V,1,0.05691371404296522
Viruses,V,2,0.0037061298168325004
Viruses,V,3,0.00024133723216245904
Viruses,V,4,1.571549365683458e-05
Viruses,V,5,1.0233677525221324e-06
Viruses,V,6,6.664006742459178e-08
Viruses,V,7,4.339494356168014e-09
Viruses,V,8,2.8258091558089985e-10
Viruses,V,9,1.8401216200924584e-11
Viruses,V,10,1.1982576989571347e-12
Viruses,V,11,7.802862036031635e-14
Viruses,V,12,5.0810986656987705e-15
Viruses,V,13,3.3087299930905955e-16
Viruses,V,14,2.154591927348793e-17
Viruses,V,15,1.403035721588261e-18
Viruses,V,16,9.136343690264013e-20
Viruses,V,17,5.949440541124242e-21
Viruses,V,18,3.8741803014800863e-22
Viruses,V,19,2.5228041031132124e-23
Viruses,V,20,1.642809587425077e-24
Viruses,V,21,1.0697712665067124e-25
Viruses,V,22,6.966178986312788e-27
Viruses,V,23,4.536264077068608e-28
Viruses,V,24,2.953942443531e-29
Viruses,V,25,1.9235599628786615e-30
Viruses,V,26,1.252591410131491e-31
Viruses,V,27,8.15667445264959e-33
Viruses,V,28,5.311495639230222e-34
Viruses,V,29,3.4587608086280015e-35
Viruses,V,30,2.2522895891965363e-36
Viruses,V,31,1.4666548727361548e-37
Viruses,V,32,9.550621403387405e-39
Viruses,V,33,6.2192115463861205e-40
Viruses,V,34,4.0498508552526187e-41
Viruses,V,35,2.6371979514542927e-42
Viruses,V,36,1.717301027551272e-43
Viruses,V,37,1.1182788981018092e-44
Viruses,V,38,7.2820529067229e-46
Viruses,V,39,4.741956110083344e-47
