kingdom,aa,n,expected_frequency
Eukaryota,F,1,0.015172858403531086
Eukaryota,F,2,0.00023759870110286456
Eukaryota,F,3,3.7206662887350466e-06
Eukaryota,F,4,5.8263608209441204e-08
Eukaryota,F,5,9.123763805050566e-10
Eukaryota,F,6,1.4287317337284624e-11
Eukaryota,F,7,2.2373161017526194e-13
Eukaryota,F,8,3.503515195325586e-15
Eukaryota,F,9,5.4863140323630884e-17
Eukaryota,F,10,8.591269049400235e-19
Eukaryota,F,11,1.3453459543837069e-20
Eukaryota,F,12,2.1067385115857389e-22
Eukaryota,F,13,3.299037798966487e-24
Eukaryota,F,14,5.166113563290558e-26
Eukaryota,F,15,8.089852549484467e-28
Eukaryota,F,16,1.2668268606684415e-29
Eukaryota,F,17,1.983781886127615e-31
Eukaryota,F,18,3.1064944183860507e-33
Eukaryota,F,19,4.864601113130081e-35
Eukaryota,F,20,7.617700469637737e-37
Eukaryota,F,21,1.1928904157936302e-38
Eukaryota,F,22,1.8680014392321875e-40
Eukaryota,F,23,2.925188542697785e-42
Eukaryota,F,24,4.580685983757859e-44
Eukaryota,F,25,7.17310483598579e-46
Eukaryota,F,26,1.1232691603503423e-47
Eukaryota,F,27,1.758978344028015e-49
Eukaryota,F,28,2.75446431182579e-51
Eukaryota,F,29,4.3133411340060725e-53
Eukaryota,F,30,6.754457357981367e-55
Eukaryota,F,31,1.0577112447958863e-56
Eukaryota,F,32,1.6563182178442432e-58
Eukaryota,F,33,2.593704143981319e-60
Eukaryota,F,34,4.061599464420363e-62
Eukaryota,F,35,6.360243610536714e-64
Eukaryota,F,36,9.959795184074397e-66
Eukaryota,F,37,1.5596496955615935e-67
Eukaryota,F,38,2.442326501608109e-69
Eukaryota,F,39,3.824550318851864e-71
Eukaryota,F,40,5.989037555707177e-73
Eukaryota,F,41,9.378506714075294e-75
Eukaryota,F,42,1.4686230862275762e-76
Eukaryota,F,43,2.299783787714944e-78
Eukaryota,F,44,3.601336190228536e-80
Eukaryota,F,45,5.639496384108505e-82
Eukaryota,F,46,8.83114427158067e-84
Eukaryota,F,47,1.3829091080763354e-85
Eukaryota,F,48,2.165560364985614e-87
Eukaryota,F,49,3.391149618589222e-89
Eukaryota,F,50,5.310355657407049e-91
Eukaryota,G,1,0.06545745912151879
Eukaryota,G,2,0.0050272207789567695
Eukaryota,G,3,0.0003860973080769394
Eukaryota,G,4,2.9652791842413125e-05
Eukaryota,G,5,2.2773742412994563e-06
Eukaryota,G,6,1.7490540056049595e-07
Eukaryota,G,7,1.3432969685198507e-08
Eukaryota,G,8,1.0316701141600835e-09
Eukaryota,G,9,7.923365044319697e-11
Eukaryota,G,10,6.085250775792636e-12
Eukaryota,G,11,4.67355432914606e-13
Eukaryota,G,12,3.589352497085024e-14
Eukaryota,G,13,2.7566709277314704e-15
Eukaryota,G,14,2.117160298402388e-16
Eukaryota,G,15,1.62600754556509e-17
Eukaryota,G,16,1.2487956345250283e-18
Eukaryota,G,17,9.590918203683949e-20
Eukaryota,G,18,7.365953999730498e-21
Eukaryota,G,19,5.657151606746583e-22
Eukaryota,G,20,4.344768417354544e-23
Eukaryota,G,21,3.3368405007794446e-24
Eukaryota,G,22,2.5627383229833054e-25
Eukaryota,G,23,1.9682174531725952e-26
Eukaryota,G,24,1.5116174399201244e-27
Eukaryota,G,25,1.1609424969723087e-28
Eukaryota,G,26,8.916194307387177e-30
Eukaryota,G,27,6.847756984899117e-31
Eukaryota,G,28,5.25916933925321e-32
Eukaryota,G,29,4.039112690467143e-33
Eukaryota,G,30,3.102092797150611e-34
Eukaryota,G,31,2.382448933609911e-35
Eukaryota,G,32,1.8297527805978855e-36
Eukaryota,G,33,1.4052747116106182e-37
Eukaryota,G,34,1.0792698533006337e-38
Eukaryota,G,35,8.288937434222666e-40
Eukaryota,G,36,6.366015281381109e-41
Eukaryota,G,37,4.889185240493776e-42
Eukaryota,G,38,3.754959933221551e-43
Eukaryota,G,39,2.8838596630213203e-44
Eukaryota,G,40,2.2148429554256827e-45
Eukaryota,G,41,1.7010291381722154e-46
Eukaryota,G,42,1.3064132252910873e-47
Eukaryota,G,43,1.0033429039606906e-48
Eukaryota,G,44,7.7058082652521e-50
Eukaryota,G,45,5.918164247380173e-51
Eukaryota,G,46,4.545229631122035e-52
Eukaryota,G,47,3.4907974054243317e-53
Eukaryota,G,48,2.68097929360482e-54
Eukaryota,G,49,2.0590281067497485e-55
Eukaryota,G,50,1.5813612415800989e-56
Eukaryota,H,1,0.02237061425046378
Eukaryota,H,2,0.0005247763096314227
Eukaryota,H,3,1.2310353755470329e-05
Eukaryota,H,4,2.887798225709924e-07
Eukaryota,H,5,6.774280218151839e-09
Eukaryota,H,6,1.5891301568606553e-10
Eukaryota,H,7,3.7278272733349265e-12
Eukaryota,H,8,8.744844542672828e-14
Eukaryota,H,9,2.0513908094004143e-15
Eukaryota,H,10,4.812211620638215e-17
Eukaryota,H,11,1.1288624564216496e-18
Eukaryota,H,12,2.648118050447071e-20
Eukaryota,H,13,6.212031562580636e-22
Eukaryota,H,14,1.4572362485117736e-23
Eukaryota,H,15,3.4184267458784397e-25
Eukaryota,H,16,8.019043877663082e-27
Eukaryota,H,17,1.8811303998079725e-28
Eukaryota,H,18,4.4128098499854336e-30
Eukaryota,H,19,1.035169639176331e-31
Eukaryota,H,20,2.4283307423182813e-33
Eukaryota,H,21,5.696448167452095e-35
Eukaryota,H,22,1.336289211307739e-36
Eukaryota,H,23,3.134705703916116e-38
Eukaryota,H,24,7.353482889043007e-40
Eukaryota,H,25,1.725001186934239e-41
Eukaryota,H,26,4.046557447435342e-43
Eukaryota,H,27,9.492530961382268e-45
Eukaryota,H,28,2.2267852421052472e-46
Eukaryota,H,29,5.223656930517585e-48
Eukaryota,H,30,1.2253804817723289e-49
Eukaryota,H,31,2.8745328130877144e-51
Eukaryota,H,32,6.74316183130881e-53
Eukaryota,H,33,1.5818303160845666e-54
Eukaryota,H,34,3.7107030966785203e-56
Eukaryota,H,35,8.7046741560638e-58
Eukaryota,H,36,2.0419675244583315e-59
Eukaryota,H,37,4.790106207522843e-61
Eukaryota,H,38,1.1236769049711246e-62
Eukaryota,H,39,2.635953634561378e-64
Eukaryota,H,40,6.183495925580041e-66
Eukaryota,H,41,1.4505422766295114e-67
Eukaryota,H,42,3.4027238339162556e-69
Eukaryota,H,43,7.982207534692252e-71
Eukaryota,H,44,1.8724892244213162e-72
Eukaryota,H,45,4.392539131982268e-74
Eukaryota,H,46,1.0304144757873508e-75
Eukaryota,H,47,2.4171759431383185e-77
Eukaryota,H,48,5.670280918386864e-79
Eukaryota,H,49,1.33015082268599e-80
Eukaryota,H,50,3.1203060951617965e-82
Eukaryota,C,1,0.00659557340948183
Eukaryota,C,2,4.408905778268776e-05
Eukaryota,C,3,2.9471963929181635e-07
Eukaryota,C,4,1.9700957596423186e-09
Eukaryota,C,5,1.3169388071616097e-11
Eukaryota,C,6,8.803266609350603e-14
Eukaryota,C,7,5.884670006979076e-16
Eukaryota,C,8,3.933692188108528e-18
Eukaryota,C,9,2.629533043048183e-20
Eukaryota,C,10,1.757749130799929e-22
Eukaryota,C,11,1.174992653161838e-24
Eukaryota,C,12,7.854407155109778e-27
Eukaryota,C,13,5.250391276254434e-29
Eukaryota,C,14,3.509699460364095e-31
Eukaryota,C,15,2.346109014349026e-33
Eukaryota,C,16,1.5682902679760372e-35
Eukaryota,C,17,1.0483461550957796e-37
Eukaryota,C,18,7.007820448458568e-40
Eukaryota,C,19,4.684478232606984e-42
Eukaryota,C,20,3.1314067580877457e-44
Eukaryota,C,21,2.0932338240668006e-46
Eukaryota,C,22,1.399252214967131e-48
Eukaryota,C,23,9.353502406561248e-51
Eukaryota,C,24,6.252483028701312e-53
Eukaryota,C,25,4.179562085403943e-55
Eukaryota,C,26,2.793888307342522e-57
Eukaryota,C,27,1.867614767864097e-59
Eukaryota,C,28,1.2484339162655179e-61
Eukaryota,C,29,8.345335826748366e-64
Eukaryota,C,30,5.578559598055471e-66
Eukaryota,C,31,3.7290682885774744e-68
Eukaryota,C,32,2.4927492583786965e-70
Eukaryota,C,33,1.666314045302162e-72
Eukaryota,C,34,1.1138715569720716e-74
Eukaryota,C,35,7.445834408761778e-77
Eukaryota,C,36,4.9772749555980384e-79
Eukaryota,C,37,3.3271309330317464e-81
Eukaryota,C,38,2.22406846000868e-83
Eukaryota,C,39,1.4867105065498734e-85
Eukaryota,C,40,9.938129918344126e-88
Eukaryota,C,41,6.643285686000055e-90
Eukaryota,C,42,4.4407997348022816e-92
Eukaryota,C,43,2.9685163662582033e-94
Eukaryota,C,44,1.984347402041796e-96
Eukaryota,C,45,1.3264655222209169e-98
Eukaryota,C,46,8.866949304493554e-101
Eukaryota,C,47,5.927239619226565e-103
Eukaryota,C,48,3.9621484568458e-105
Eukaryota,C,49,2.64855504460507e-107
Eukaryota,C,50,1.770464660955022e-109
Eukaryota,D,1,0.05118041525333567
Eukaryota,D,2,0.002949622366700356
Eukaryota,D,3,0.00016999221407395617
Eukaryota,D,4,9.796966951431227e-06
Eukaryota,D,5,5.646173971572529e-07
Eukaryota,D,6,3.2539949022289896e-08
Eukaryota,D,7,1.875337684783246e-09
Eukaryota,D,8,1.0807919304234659e-10
Eukaryota,D,9,6.228804584618015e-12
Eukaryota,D,10,3.5897757432512403e-13
Eukaryota,D,11,2.0688544184959794e-14
Eukaryota,D,12,1.1923192174266077e-15
Eukaryota,D,13,6.871557048843941e-17
Eukaryota,D,14,3.960205923496602e-18
Eukaryota,D,15,2.282340209798025e-19
Eukaryota,D,16,1.3153550431189749e-20
Eukaryota,D,17,7.580635358528034e-22
Eukaryota,D,18,4.368860920067771e-23
Eukaryota,D,19,2.5178556725358184e-24
Eukaryota,D,20,1.4510869775232981e-25
Eukaryota,D,21,8.36288370022824e-27
Eukaryota,D,22,4.8196851647661e-28
Eukaryota,D,23,2.777674055999661e-29
Eukaryota,D,24,1.600825136416984e-30
Eukaryota,D,25,9.22585251444192e-32
Eukaryota,D,26,5.317030116652487e-33
Eukaryota,D,27,3.064303186847517e-34
Eukaryota,D,28,1.766014826870232e-35
Eukaryota,D,29,1.0177871374190135e-36
Eukaryota,D,30,5.865696263328757e-38
Eukaryota,D,31,3.3805096752233904e-39
Eukaryota,D,32,1.948250497681532e-40
Eukaryota,D,33,1.1228129383967852e-41
Eukaryota,D,34,6.470979456345571e-43
Eukaryota,D,35,3.7293456187132873e-44
Eukaryota,D,36,2.149291129363347e-45
Eukaryota,D,37,1.2386763875089145e-46
Eukaryota,D,38,7.13872202797684e-48
Eukaryota,D,39,4.114178061891488e-49
Eukaryota,D,40,2.3710772122256555e-50
Eukaryota,D,41,1.3664958253535275e-51
Eukaryota,D,42,7.875369182751467e-53
Eukaryota,D,43,4.538721495807414e-54
Eukaryota,D,44,2.6157494764337063e-55
Eukaryota,D,45,1.5075049944755484e-56
Eukaryota,D,46,8.688031208046462e-58
Eukaryota,D,47,5.007073711105609e-59
Eukaryota,D,48,2.885669554826814e-60
Eukaryota,D,49,1.663064947732851e-61
Eukaryota,D,50,9.584552104212297e-63
Eukaryota,S,1,0.09708462797506874
Eukaryota,S,2,0.012382697588644201
Eukaryota,S,3,0.0015793561016805896
Eukaryota,S,4,0.000201439603774481
Eukaryota,S,5,2.5692694589675518e-05
Eukaryota,S,6,3.276984976684942e-06
Eukaryota,S,7,4.1796435558511155e-07
Eukaryota,S,8,5.3309430400990555e-08
Eukaryota,S,9,6.799372558216512e-09
Eukaryota,S,10,8.672286842623763e-10
Eukaryota,S,11,1.1061102835122858e-10
Eukaryota,S,12,1.4107927718422548e-11
Eukaryota,S,13,1.7994012665376737e-12
Eukaryota,S,14,2.2950535207160936e-13
Eukaryota,S,15,2.927235164775882e-14
Eukaryota,S,16,3.733553763585831e-15
Eukaryota,S,17,4.76197603572215e-16
Eukaryota,S,18,6.073681323665428e-17
Eukaryota,S,19,7.746701063741906e-18
Eukaryota,S,20,9.88056076257282e-19
Eukaryota,S,21,1.2602200624447137e-19
Eukaryota,S,22,1.607352703911327e-20
Eukaryota,S,23,2.050104415699537e-21
Eukaryota,S,24,2.6148138520209957e-22
Eukaryota,S,25,3.335074754418238e-23
Eukaryota,S,26,4.2537343945004305e-24
Eukaryota,S,27,5.425442495699698e-25
Eukaryota,S,28,6.919902265689334e-26
Eukaryota,S,29,8.82601693864545e-27
Eukaryota,S,30,1.1257178499109398e-27
Eukaryota,S,31,1.4358013205927474e-28
Eukaryota,S,32,1.8312985197658302e-29
Eukaryota,S,33,2.3357369995397546e-30
Eukaryota,S,34,2.9791250700713703e-31
Eukaryota,S,35,3.799736950211671e-32
Eukaryota,S,36,4.846389645016818e-33
Eukaryota,S,37,6.181346998248873e-34
Eukaryota,S,38,7.884023677718088e-35
Eukaryota,S,39,1.0055709438157778e-35
Eukaryota,S,40,1.28255947011466e-36
Eukaryota,S,41,1.6358455905048069e-37
Eukaryota,S,42,2.0864457815237125e-38
Eukaryota,S,43,2.6611655919766372e-39
Eukaryota,S,44,3.3941942659773255e-40
Eukaryota,S,45,4.329138611264029e-41
Eukaryota,S,46,5.5216171046534445e-42
Eukaryota,S,47,7.042568554186229e-43
Eukaryota,S,48,8.982472145454141e-44
Eukaryota,S,49,1.1456729916515904e-44
Eukaryota,S,50,1.461253185699184e-45
Eukaryota,T,1,0.05381421383551056
Eukaryota,T,2,0.003284717825952512
Eukaryota,T,3,0.00020049296323661203
Eukaryota,T,4,1.2237711254768405e-05
Eukaryota,T,5,7.469667480466333e-07
Eukaryota,T,6,4.5593437455059624e-08
Eukaryota,T,7,2.7829371848272103e-09
Eukaryota,T,8,1.6986522199226165e-10
Eukaryota,T,9,1.0368251859867923e-11
Eukaryota,T,10,6.328584825594961e-13
Eukaryota,T,11,3.8628484759108653e-14
Eukaryota,T,12,2.3578096460837265e-15
