kingdom,aa,n,expected_frequency
Eukaryota,F,39,1.8164042902936047e-52
Eukaryota,F,40,8.58229889334442e-54
Eukaryota,F,41,4.05503635332171e-55
Eukaryota,F,42,1.9159574877440394e-56
Eukaryota,F,43,9.052676166109869e-58
Eukaryota,F,44,4.27728414083694e-59
Eukaryota,F,45,2.020966981006792e-60
Eukaryota,F,46,9.548833801629385e-62
Eukaryota,F,47,4.5117128497426676e-63
Eukaryota,F,48,2.1317318178749417e-64
Eukaryota,F,49,1.007218476592453e-65
Eukaryota,F,50,4.7589900900411326e-67
Eukaryota,G,1,0.05351640730901138
Eukaryota,G,2,0.0032457809665721797
Eukaryota,G,3,0.00019685727448277862
Eukaryota,G,4,1.1939433657383934e-05
Eukaryota,G,5,7.24129074902654e-07
Eukaryota,G,6,4.3918575383605536e-08
Eukaryota,G,7,2.663670512035081e-09
Eukaryota,G,8,1.6155215725266428e-10
Eukaryota,G,9,9.79817113080157e-12
Eukaryota,G,10,5.942610680111487e-13
Eukaryota,G,11,3.604205440376513e-14
Eukaryota,G,12,2.185957915754957e-15
Eukaryota,G,13,1.3257879131752765e-16
Eukaryota,G,14,8.040930605540038e-18
Eukaryota,G,15,4.876840734522711e-19
Eukaryota,G,16,2.957813804973472e-20
Eukaryota,G,17,1.793920076774429e-21
Eukaryota,G,18,1.0880161680370671e-22
Eukaryota,G,19,6.598840144754755e-24
Eukaryota,G,20,4.0022099427610206e-25
Eukaryota,G,21,2.4273484543593938e-26
Eukaryota,G,22,1.4721917648368506e-27
Eukaryota,G,23,8.928872937715199e-29
Eukaryota,G,24,5.415379561418618e-30
Eukaryota,G,25,3.284438696664306e-31
Eukaryota,G,26,1.9920187365998794e-32
Eukaryota,G,27,1.2081634073411215e-33
Eukaryota,G,28,7.327535589999315e-35
Eukaryota,G,29,4.444165209478704e-36
Eukaryota,G,30,2.695395220747436e-37
Eukaryota,G,31,1.634762672758584e-38
Eukaryota,G,32,9.914868794282852e-40
Eukaryota,G,33,6.013388049897146e-41
Eukaryota,G,34,3.647132058822302e-42
Eukaryota,G,35,2.2119929969789517e-43
Eukaryota,G,36,1.3415782427861682e-44
Eukaryota,G,37,8.136699275157558e-46
Eukaryota,G,38,4.934924627046293e-47
Eukaryota,G,39,2.993041803693356e-48
Eukaryota,G,40,1.8152859295072552e-49
Eukaryota,G,41,1.1009746010900114e-50
Eukaryota,G,42,6.677433304263734e-52
Eukaryota,G,43,4.0498768535392524e-53
Eukaryota,G,44,2.456258532505321e-54
Eukaryota,G,45,1.4897257859168426e-55
Eukaryota,G,46,9.035217131487958e-57
Eukaryota,G,47,5.479877530809579e-58
Eukaryota,G,48,3.3235568460241726e-59
Eukaryota,G,49,2.0157439735924612e-60
Eukaryota,G,50,1.2225528117369151e-61
Eukaryota,H,1,0.02306690003506883
Eukaryota,H,2,0.0005588309558154854
Eukaryota,H,3,1.3538535160895846e-05
Eukaryota,H,4,3.279917341646557e-07
Eukaryota,H,5,7.946101731231878e-09
Eukaryota,H,6,1.9250647545705824e-10
Eukaryota,H,7,4.663763987219149e-12
Eukaryota,H,8,1.129868201931426e-13
Eukaryota,H,9,2.737278638529369e-15
Eukaryota,H,10,6.631476425428195e-17
Eukaryota,H,11,1.6065766547112184e-18
Eukaryota,H,12,3.8921778226730687e-20
Eukaryota,H,13,9.42939644920404e-22
Eukaryota,H,14,2.284415600908947e-23
Eukaryota,H,15,5.534346408901598e-25
Eukaryota,H,16,1.3407801173103106e-26
Eukaryota,H,17,3.2482450323008204e-28
Eukaryota,H,18,7.869370714590489e-30
Eukaryota,H,19,1.9064754914683835e-31
Eukaryota,H,20,4.618728652382157e-33
Eukaryota,H,21,1.1189577028291777e-34
Eukaryota,H,22,2.7108462846696657e-36
Eukaryota,H,23,6.567440002894547e-38
Eukaryota,H,24,1.5910628513145424e-39
Eukaryota,H,25,3.8545932596528214e-41
Eukaryota,H,26,9.338342093202234e-43
Eukaryota,H,27,2.2623562896368247e-44
Eukaryota,H,28,5.480904351303524e-46
Eukaryota,H,29,1.32783296095949e-47
Eukaryota,H,30,3.216878564558637e-49
Eukaryota,H,31,7.793380646040874e-51
Eukaryota,H,32,1.88806573438117e-52
Eukaryota,H,33,4.5741281983387553e-54
Eukaryota,H,34,1.1081525602547587e-55
Eukaryota,H,35,2.6846691731227953e-57
Eukaryota,H,36,6.504021943926994e-59
Eukaryota,H,37,1.5756988559554262e-60
Eukaryota,H,38,3.8173716295307565e-62
Eukaryota,H,39,9.248166997690915e-64
Eukaryota,H,40,2.240509992675061e-65
Eukaryota,H,41,5.427978353472819e-67
Eukaryota,H,42,1.3150108279852912e-68
Eukaryota,H,43,3.1858149850803745e-70
Eukaryota,H,44,7.718124370665786e-72
Eukaryota,H,45,1.869833749920737e-73
Eukaryota,H,46,4.529958425690731e-75
Eukaryota,H,47,1.0974517568396827e-76
Eukaryota,H,48,2.658744839157896e-78
Eukaryota,H,49,6.441216277337818e-80
Eukaryota,H,50,1.5604832220222583e-81
Eukaryota,C,1,0.021203553692347644
Eukaryota,C,2,0.0004702146071834788
Eukaryota,C,3,1.042758115063084e-05
Eukaryota,C,4,2.312443020524098e-07
Eukaryota,C,5,5.128123815029827e-09
Eukaryota,C,6,1.1372238636312822e-10
Eukaryota,C,7,2.521932314157549e-12
Eukaryota,C,8,5.592691817847902e-14
Eukaryota,C,9,1.2402474719021691e-15
Eukaryota,C,10,2.7503997031462298e-17
Eukaryota,C,11,6.099346056690509e-19
Eukaryota,C,12,1.3526042151877065e-20
Eukaryota,C,13,2.9995644548429744e-22
Eukaryota,C,14,6.65189921614197e-24
Eukaryota,C,15,1.4751396026936355e-25
Eukaryota,C,16,3.271301588807315e-27
Eukaryota,C,17,7.254509380259511e-29
Eukaryota,C,18,1.6087757401622163e-30
Eukaryota,C,19,3.5676559867400744e-32
Eukaryota,C,20,7.911711323070353e-34
Eukaryota,C,21,1.7545182689207547e-35
Eukaryota,C,22,3.890857780667927e-37
Eukaryota,C,23,8.628450633743677e-39
Eukaryota,C,24,1.913463933553776e-40
Eukaryota,C,25,4.243339135177413e-42
Eukaryota,C,26,9.410120933236892e-44
Eukaryota,C,27,2.0868088351472497e-45
Eukaryota,C,28,4.627752549988397e-47
Eukaryota,C,29,1.0262604462479641e-48
Eukaryota,C,30,2.2758574322123403e-50
Eukaryota,C,31,5.04699082059787e-52
Eukaryota,C,32,1.1192316347530587e-53
Eukaryota,C,33,2.4820323570226164e-55
Eukaryota,C,34,5.504208807202328e-57
Eukaryota,C,35,1.2206252874811984e-58
Eukaryota,C,36,2.70688512123481e-60
Eukaryota,C,37,6.002847175714647e-62
Eukaryota,C,38,1.331204413970382e-63
Eukaryota,C,39,2.952107791355286e-65
Eukaryota,C,40,6.546658289531845e-67
Eukaryota,C,41,1.451801146468977e-68
Eukaryota,C,42,3.219545721912668e-70
Eukaryota,C,43,7.139734446894967e-72
Eukaryota,C,44,1.5833230019139122e-73
Eukaryota,C,45,3.511211442156543e-75
Eukaryota,C,46,7.786538676333432e-77
Eukaryota,C,47,1.7267597111952357e-78
Eukaryota,C,48,3.8292998007827174e-80
Eukaryota,C,49,8.491938321936349e-82
Eukaryota,C,50,1.8831906670987486e-83
Eukaryota,D,1,0.044934697871388624
Eukaryota,D,2,0.002236150923180306
Eukaryota,D,3,0.00011128084060011076
Eukaryota,D,4,5.537830812893106e-06
Eukaryota,D,5,2.7558715360924215e-07
Eukaryota,D,6,1.3714445565513165e-08
Eukaryota,D,7,6.824919620023828e-10
Eukaryota,D,8,3.396384315886363e-11
Eukaryota,D,9,1.690192275284057e-12
Eukaryota,D,10,8.411150393280405e-14
Eukaryota,D,11,4.185763476317578e-15
Eukaryota,D,12,2.0830225427512603e-16
Eukaryota,D,13,1.0366048961340604e-17
Eukaryota,D,14,5.158608169788882e-19
Eukaryota,D,15,2.5671534399130468e-20
Eukaryota,D,16,1.2775300172346872e-21
Eukaryota,D,17,6.357558997295235e-23
Eukaryota,D,18,3.1638048311051584e-24
Eukaryota,D,19,1.574450353285413e-25
Eukaryota,D,20,7.83516698182249e-27
Eukaryota,D,21,3.8991284485369054e-28
Eukaryota,D,22,1.9403801723002327e-29
Eukaryota,D,23,9.65619692387583e-31
Eukaryota,D,24,4.805354144705298e-32
Eukaryota,D,25,2.3913584859625966e-33
Eukaryota,D,26,1.1900466097147627e-34
Eukaryota,D,27,5.922202553932566e-36
Eukaryota,D,28,2.947152052994949e-37
Eukaryota,D,29,1.4666342706742957e-38
Eukaryota,D,30,7.298626081170201e-40
Eukaryota,D,31,3.6321217728157025e-41
Eukaryota,D,32,1.8075057450328704e-42
Eukaryota,D,33,8.994954527072807e-44
Eukaryota,D,34,4.476290444246207e-45
Eukaryota,D,35,2.2276017161557045e-46
Eukaryota,D,36,1.108553939389306e-47
Eukaryota,D,37,5.516658690029723e-49
Eukaryota,D,38,2.745335343722296e-50
Eukaryota,D,39,1.3662012774348762e-51
Eukaryota,D,40,6.7988267252406505e-53
Eukaryota,D,41,3.383399327999085e-54
Eukaryota,D,42,1.6837303663301503e-55
Eukaryota,D,43,8.378993053057169e-57
Eukaryota,D,44,4.1697605499747706e-58
Eukaryota,D,45,2.0750587730565185e-59
Eukaryota,D,46,1.0326417692413721e-60
Eukaryota,D,47,5.138885883271833e-62
Eukaryota,D,48,2.5573387507548927e-63
Eukaryota,D,49,1.2726457902872732e-64
Eukaryota,D,50,6.333252906201127e-66
Eukaryota,S,1,0.06027297392451478
Eukaryota,S,2,0.004196975706954284
Eukaryota,S,3,0.00029224715387073406
Eukaryota,S,4,2.0349986492422375e-05
Eukaryota,S,5,1.4170264611882115e-06
Eukaryota,S,6,9.86715147184634e-08
Eukaryota,S,7,6.8707734707169904e-09
Eukaryota,S,8,4.784311685150904e-10
Eukaryota,S,9,3.331450003151227e-11
Eukaryota,S,10,2.3197817897071742e-12
Eukaryota,S,11,1.6153289248725785e-13
Eukaryota,S,12,1.1247986974927374e-14
Eukaryota,S,13,7.832287841816233e-16
Eukaryota,S,14,5.453841027181531e-17
Eukaryota,S,15,3.79766200508676e-18
Eukaryota,S,16,2.644418242666088e-19
Eukaryota,S,17,1.8413823644069773e-20
Eukaryota,S,18,1.2822060282455758e-21
Eukaryota,S,19,8.928359099381112e-23
Eukaryota,S,20,6.2170660916775774e-24
Eukaryota,S,21,4.329116958452795e-25
Eukaryota,S,22,3.0144851870002485e-26
Eukaryota,S,23,2.0990703253930136e-27
Eukaryota,S,24,1.4616413608355104e-28
Eukaryota,S,25,1.0177817493108912e-29
Eukaryota,S,26,7.0870989080262715e-31
Eukaryota,S,27,4.934945135944351e-32
Eukaryota,S,28,3.436340286883793e-33
Eukaryota,S,29,2.3928198271652976e-34
Eukaryota,S,30,1.666187352611563e-35
Eukaryota,S,31,1.1602128428079714e-36
Eukaryota,S,32,8.078886437990916e-38
Eukaryota,S,33,5.625554524977467e-39
Eukaryota,S,34,3.917230914977994e-40
Eukaryota,S,35,2.727677417955662e-41
Eukaryota,S,36,1.899358056216879e-42
Eukaryota,S,37,1.3225761235431399e-43
Eukaryota,S,38,9.209467361043297e-45
Eukaryota,S,39,6.412809634496274e-46
Eukaryota,S,40,4.465418660610733e-47
Eukaryota,S,41,3.109395873419972e-48
Eukaryota,S,42,2.1651592901971744e-49
Eukaryota,S,43,1.5076609549786832e-50
Eukaryota,S,44,1.0498264794920637e-51
Eukaryota,S,45,7.310235324481714e-53
Eukaryota,S,46,5.09032126196282e-54
Eukaryota,S,47,3.544533027988102e-55
Eukaryota,S,48,2.4681574580332e-56
Eukaryota,S,49,1.718647051541977e-57
Eukaryota,S,50,1.1967419980278257e-58
Eukaryota,T,1,0.04746463029066729
Eukaryota,T,2,0.0025116780616034886
Eukaryota,T,3,0.00013291005631999345
Eukaryota,T,4,7.033179666229282e-06
Eukaryota,T,5,3.7217361565454393e-07
Eukaryota,T,6,1.969425022006265e-08
Eukaryota,T,7,1.0421574109929851e-09
Eukaryota,T,8,5.514767290715099e-11
Eukaryota,T,9,2.9182403684836308e-12
Eukaryota,T,10,1.5442404727730934e-13
Eukaryota,T,11,8.171631999558654e-15
Eukaryota,T,12,4.3241691118416107e-16
Eukaryota,T,13,2.2882134815683034e-17
Eukaryota,T,14,1.210850177642803e-18
Eukaryota,T,15,6.40743603910911e-20
Eukaryota,T,16,3.390612426980657e-21
Eukaryota,T,17,1.794204820746693e-22
Eukaryota,T,18,9.494364242796535e-24
Eukaryota,T,19,5.024117165027942e-25
Eukaryota,T,20,2.6586038456529165e-26
Eukaryota,T,21,1.4068490395329315e-27
Eukaryota,T,22,7.444600004137366e-29
Eukaryota,T,23,3.939446782435306e-30
Eukaryota,T,24,2.0846305970790918e-31
