virus_TaxName,virus_TaxID,virushost_TaxName
Tobacco mild green mosaic virus (TMGMV) (TMV strain U2),,Nicotiana glauca (Glaucous tobacco) (Tree tobacco)
Deltapapillomavirus 4,337052,Bos taurus (Bovine)
Influenza C virus,11552,Homo sapiens (Human)
Gloriosa stripe mosaic virus (GSMV),,Phaseolus vulgaris (Kidney bean) (French bean)
Junin mammarenavirus (JUNV) (Junn mammarenavirus),,Homo sapiens (Human)
Rice stripe virus,12331,Hordeum vulgare (Barley)
Tobacco mosaic virus,12242,Antirrhinum majus (Garden snapdragon)
Eastern equine encephalitis virus (EEEV) (Eastern equine encephalomyelitis virus),,Homo sapiens (Human)
Sonchus yellow net virus (SYNV),,Lactuca sativa (Garden lettuce)
Peanut stunt virus,12313,Phaseolus angularis (Azuki bean) (Vigna angularis)
Avastrovirus 1,1239437,Meleagris gallopavo (Common turkey)
Bean yellow mosaic virus,,Vicia faba (Broad bean) (Faba vulgaris)
Clostridium botulinum C phage (Clostridium botulinum C bacteriophage),12336,Clostridium botulinum
Beet curly top virus,10840,Beta vulgaris (Sugar beet)
Grapevine fleck virus,103722,Vitis vinifera (Grape)
Equid herpesvirus 1 (Equine herpesvirus 1),10326,Equus caballus (Horse)
Louping ill virus (Li),,Equus caballus (Horse)
Enterovirus B,138949,Homo sapiens (Human)
Pepper ringspot virus,31750,Narcissus pseudonarcissus (Daffodil)
KI polyomavirus,423445,Homo sapiens (Human)
Lettuce infectious yellows virus (LIYV),31713,Cucurbita maxima (Pumpkin) (Winter squash)
Allpahuayo mammarenavirus (isolate Rat/Peru/CLHP-2472/1997) (ALLV),,Oecomys bicolor (Bicolored arboreal rice rat)
Human herpesvirus 1 (HHV-1) (Human herpes simplex virus 1),,Homo sapiens (Human)
West Nile virus (WNV),11082,Homo sapiens (Human)
Streptomyces phage phiC31 (Bacteriophage phi-C31),,Streptomyces coelicolor
Western equine encephalitis virus (WEEV),,Lithobates pipiens (Northern leopard frog) (Rana pipiens)
Torque teno midi virus 1,687379,Homo sapiens (Human)
Maize streak virus,10821,Pennisetum americanum (Pearl millet) (Pennisetum glaucum)
Yellow fever virus,11089,Homo sapiens (Human)
Mouse intracisternal a-particle MIAE (IAP-MIAE),11932,Mus musculus (Mouse)
Alphapapillomavirus 6,337050,Homo sapiens (Human)
Beet mosaic virus (BtMV),,Melilotus indicus (Sourclover) (Yellow sweet clover)
Cowpox virus (CPV),,Bos taurus (Bovine)
Eastern equine encephalitis virus (EEEV) (Eastern equine encephalomyelitis virus),11021,Homo sapiens (Human)
Clover yellow mosaic virus (CYMV),,Vicia sativa (Spring vetch) (Tare)
Murine leukemia virus,11786,Rattus norvegicus (Rat)
Enterobacteria phage N4 (Bacteriophage N4),,Escherichia coli
California encephalitis virus,35305,Lepus americanus (Snowshoe hare)
Bovine adenovirus D,130499,Bos taurus (Bovine)
Tomato yellow leaf curl China virus (TYLCCNV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Tomato black ring virus,12275,Robinia pseudoacacia (Black locust)
Chikungunya virus (CHIKV),37124,Homo sapiens (Human)
Bean common mosaic necrosis virus,43240,Phaseolus vulgaris (Kidney bean) (French bean)
Sabia mammarenavirus (isolate Human/Brasil/SPH114202/1990) (SABV) (Sabi mammarenavirus),,Homo sapiens (Human)
Pea enation mosaic virus-1 (PEMV-1),193121,Cicer arietinum (Chickpea) (Garbanzo)
Lettuce mosaic virus,12202,Cichorium intybus (Chicory)
Sindbis virus (SINV),,Homo sapiens (Human)
Lactate dehydrogenase-elevating virus (LDV),11048,Mus musculus (Mouse)
Tobacco etch virus (TEV),,Nicotiana tabacum (Common tobacco)
Viral hemorrhagic septicemia virus,11287,Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)
Prospect Hill virus (PHV),,Microtus pennsylvanicus (Meadow vole)
Broad bean mottle virus,,Vicia faba (Broad bean) (Faba vulgaris)
Rice ragged stunt virus (RRSV),42475,Oryza nivara (Indian wild rice)
Rift valley fever virus (RVFV),11588,Capra hircus (Goat)
Human respiratory syncytial virus,11250,Homo sapiens (Human)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),,Panthera leo (Lion)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Avena sativa (Oat)
Maize stripe virus (MStV),,Zea mays (Maize)
Tobacco necrosis virus (strain D) (TNV-D),,Nicotiana clevelandii (Wild tobacco)
Pepper ringspot virus,31750,Stellaria media (Common chickweed) (Alsine media)
Yaba monkey tumor virus (YMTV),38804,Erythrocebus patas (Red guenon) (Cercopithecus patas)
West Nile virus (WNV),,Amblyomma variegatum (Tropical bont tick)
Mink astrovirus 1 (MAstV-1),,Neovison vison (American mink) (Mustela vison)
Vesicular stomatitis New Jersey virus,11280,Sus scrofa (Pig)
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Pseudomonas fluorescens
Frog virus 3 (FV-3),10493,Rana sylvatica (Wood frog)
Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4),,Homo sapiens (Human)
Maize white line mosaic Satellite virus (MWLMV) (Satellite maize white line mosaic virus),,Zea mays (Maize)
Trichoplusia ni granulosis virus (TnGV) (Trichoplusia ni granulovirus),,Trichoplusia ni (Cabbage looper)
Human herpesvirus 6A,32603,Homo sapiens (Human)
Potato virus X (PVX),,Solanum tuberosum (Potato)
Tobacco yellow dwarf virus,10830,Datura stramonium (Jimsonweed) (Common thornapple)
Beet necrotic yellow vein virus,31721,Beta vulgaris (Sugar beet)
Enterobacteria phage phi21 (Bacteriophage phi-21),,Bacillus subtilis
Mycobacterium phage Bxz1 (Mycobacteriophage Bxz1),,Mycobacterium smegmatis
Abutilon mosaic virus,10815,Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)
Equid herpesvirus 4 (Equine herpesvirus 4),10331,Equus caballus (Horse)
Papaya ringspot virus,12205,Carica papaya (Papaya)
Cucumber green mottle mosaic virus,12235,Cucumis sativus (Cucumber)
Autographa californica multiple nucleopolyhedrovirus,307456,Ostrinia nubilalis (European corn borer) (Pyralis nubilalis)
Arabis mosaic virus (ArMV),,Cornus florida (Flowering dogwood)
Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea)),,Phaseolus vulgaris (Kidney bean) (French bean)
Streptococcus pyogenes phage H10403,,Streptococcus pyogenes
Frog virus 3 (FV-3),10493,Hoplobatrachus tigerinus (Indian bull frog) (Rana tigerina)
Pepper mottle virus (PeMV),,Datura inoxia (Downy thornapple) (Datura meteloides)
Lactococcus phage LL-H (Lactococcus delbrueckii bacteriophage LL-H),,Lactobacillus delbrueckii
Betacoronavirus 1,694003,Sus scrofa (Pig)
Equine infectious anemia virus,11665,Equus asinus (Donkey) (Equus africanus asinus)
Peanut mottle virus,33763,Phaseolus vulgaris (Kidney bean) (French bean)
Enterobacteria phage LZ1 (Bacteriophage LZ1),,Escherichia coli
Tobacco necrosis virus (strain D) (TNV-D),,Phaseolus vulgaris (Kidney bean) (French bean)
Venezuelan equine encephalitis virus,11036,Equus caballus (Horse)
Mycoreovirus 1 (MYRV-1),311228,Cryphonectria parasitica (Chesnut blight fungus) (Endothia parasitica)
Bovine adenovirus F,346178,Bos taurus (Bovine)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Zea mays (Maize)
Sunn-hemp mosaic virus (SHMV) (TMV strain cowpea),,Lablab purpureus (Hyacinth bean) (Dolichos lablab)
Feline leukemia virus,11768,Felis catus (Cat) (Felis silvestris catus)
Sheeppox virus (SPPV),10266,Ovis aries (Sheep)
Human mastadenovirus A,129875,Homo sapiens (Human)
Alcelaphine herpesvirus 1 (wildebeest herpesvirus),35252,Connochaetes taurinus (Blue wildebeest)
Enterobacteria phage RB51 (Bacteriophage RB51),,Escherichia coli
